Time	Available_MB
0	1831
1	1822
2	1819
3	1814
4	1811
5	1797
6	1795
7	1794
8	1793
9	1791
10	1782
11	1780
12	1782
13	1781
14	1758
15	1756
16	1755
17	1755
18	1755
19	1745
20	1744
21	1744
22	1737
23	1735
24	1730
25	1731
26	1730
27	1728
28	1718
29	1713
30	1712
31	1711
32	1705
33	1695
34	1693
35	1693
36	1693
37	1682
38	1681
39	1678
40	1677
41	1677
42	1667
43	1667
44	1667
45	1663
46	1651
47	1650
48	1650
49	1650
50	1643
51	1636
52	1632
53	1627
54	1624
55	1620
56	1616
57	1616
58	1612
59	1606
60	1599
61	1597
62	1595
63	1595
64	1581
65	1579
66	1585
67	1622
68	1661
69	1676
70	1673
71	1669
72	1665
73	1657
74	1658
75	1658
76	1651
77	1649
78	1642
79	1638
80	1633
81	1633
82	1629
83	1621
84	1621
85	1621
86	1612
87	1604
88	1604
89	1604
90	1596
91	1586
92	1587
93	1588
94	1587
95	1581
96	1573
97	1573
98	1573
99	1572
100	1560
101	1558
102	1558
103	1552
104	1548
105	1541
106	1537
107	1539
108	1539
109	1528
110	1527
111	1527
112	1526
113	1517
114	1512
115	1512
116	1506
117	1504
118	1500
119	1493
120	1490
121	1487
122	1482
123	1478
124	1473
125	1468
126	1466
127	1462
128	1457
129	1457
130	1456
131	1448
132	1441
133	1439
134	1435
135	1431
136	1429
137	1420
138	1419
139	1419
140	1419
141	1411
142	1404
143	1402
144	1400
145	1391
146	1384
147	1384
148	1384
149	1383
150	1376
151	1365
152	1365
153	1364
154	1364
155	1357
156	1348
157	1344
158	1345
159	1344
160	1336
161	1329
162	1327
163	1326
164	1319
165	1311
166	1310
167	1310
168	1307
169	1303
170	1296
171	1290
172	1290
173	1290
174	1276
175	1275
176	1275
177	1274
178	1263
179	1257
180	1255
181	1255
182	1248
183	1241
184	1240
185	1240
186	1235
187	1228
188	1220
189	1221
190	1216
191	1214
192	1207
193	1203
194	1203
195	1199
196	1198
197	1190
198	1187
199	1184
200	1178
201	1175
202	1170
203	1167
204	1161
205	1158
206	1155
207	1148
208	1148
209	1140
210	1137
211	1134
212	1129
213	1129
214	1124
215	1120
216	1113
217	1111
218	1108
219	1103
220	1099
221	1093
222	1093
223	1087
224	1084
225	1080
226	1074
227	1071
228	1066
229	1060
230	1056
231	1056
232	1056
233	1050
234	1042
235	1040
236	1040
237	1032
238	1024
239	1023
240	1023
241	1023
242	1016
243	1007
244	1005
245	1005
246	1001
247	989
248	987
249	988
250	987
251	978
252	971
253	968
254	963
255	960
256	957
257	954
258	954
259	954
260	949
261	940
262	935
263	934
264	934
265	927
266	971
267	972
268	972
269	965
270	961
271	955
272	953
273	953
274	947
275	938
276	937
277	937
278	937
279	926
280	922
281	923
282	923
283	923
284	913
285	948
286	976
287	991
288	1010
289	1006
290	1004
291	1003
292	998
293	990
294	994
295	986
296	987
297	987
298	983
299	977
300	974
301	974
302	969
303	960
304	958
305	956
306	956
307	950
308	943
309	939
310	939
311	939
312	932
313	923
314	921
315	919
316	915
317	913
318	904
319	904
320	904
321	901
322	886
323	886
324	886
325	885
326	875
327	868
328	868
329	868
330	861
331	857
332	850
333	850
334	850
335	838
336	833
337	831
338	829
339	829
340	823
341	817
342	812
343	808
344	808
345	798
346	796
347	794
348	794
349	788
350	779
351	776
352	774
353	770
354	768
355	759
356	757
357	758
358	755
359	745
360	742
361	740
362	736
363	734
364	726
365	723
366	720
367	720
368	715
369	706
370	701
371	699
372	699
373	688
374	686
375	686
376	680
377	680
378	669
379	667
380	666
381	665
382	655
383	650
384	648
385	648
386	644
387	634
388	630
389	630
390	627
391	616
392	615
393	615
394	614
395	606
396	596
397	597
398	596
399	593
400	589
401	673
402	670
403	668
404	664
405	658
406	656
407	654
408	650
409	646
410	639
411	634
412	635
413	630
414	621
415	621
416	621
417	615
418	615
419	605
420	601
421	601
422	596
423	586
424	586
425	586
426	579
427	577
428	569
429	566
430	563
431	563
432	554
433	550
434	550
435	546
436	544
437	534
438	534
439	534
440	527
441	519
442	517
443	515
444	513
445	509
446	500
447	496
448	494
449	494
450	491
451	484
452	478
453	474
454	474
455	468
456	463
457	458
458	456
459	456
460	447
461	445
462	445
463	443
464	432
465	429
466	427
467	423
468	421
469	414
470	414
471	414
472	405
473	401
474	393
475	391
476	389
477	389
478	380
479	375
480	374
481	374
482	369
483	360
484	355
485	353
486	349
487	347
488	339
489	337
490	335
491	335
492	324
493	323
494	323
495	318
496	337
497	331
498	331
499	331
500	322
501	320
502	307
503	305
504	306
505	317
506	316
507	314
508	314
509	309
510	300
511	298
512	298
